"id_dren","folio","regjurid","dr_ini_a","dr_ter_a","ini_re_a","ter_re_a","ot_publi","ot_priva","ot_socia","ambito"
"8361","18013","4","NA","NA","NA","NA","","","","2"
"8362","18013","11","NA","NA","NA","NA","","","","4"
"8381","14030","4","NA","NA","NA","NA","","","","1"
"8382","14031","1","NA","NA","NA","NA","","","","3"
"8383","14004","1","NA","NA","NA","NA","","","","3"
"8384","14082","1","NA","NA","NA","NA","","","","3"
"8385","14056","1","NA","NA","NA","NA","","","","2"
"8386","14011","1","NA","NA","NA","NA","","","","3"
"8388","14043","4","NA","NA","NA","NA","","","","3"
"8389","14110","4","NA","NA","NA","NA","","","","2"
"8392","30202","1","NA","NA","NA","NA","","","","2"
"8396","21135","1","NA","NA","NA","NA","","","","1"
"8397","21138","1","NA","NA","NA","NA","","","","1"
"8398","21139","1","NA","NA","NA","NA","","","","2"
"8399","21140","4","NA","NA","NA","NA","","","","3"
"8400","21141","1","NA","NA","NA","NA","","","","2"
"8401","21144","4","NA","NA","NA","NA","","","","2"
"8403","21145","1","NA","NA","NA","NA","","","","3"
"8404","21146","1","NA","NA","NA","NA","","","","1"
"8405","21062","1","NA","NA","NA","NA","","","","1"
"8406","21063","1","NA","NA","NA","NA","","","","3"
"8408","21147","1","NA","NA","NA","NA","","","","3"
